customer_id,name,age,gender,city,country,signup_date,account_age_months,plan,subscription_status,subscription_start_date,subscription_end_date,monthly_bill,payment_method,auto_renew,login_frequency,monthly_active_days,sessions_per_month,avg_session_minutes,monthly_usage_hours,total_listening_hours,songs_played_monthly,songs_completed_monthly,songs_skipped_monthly,favorite_genre,favorite_artist,playlists_created,playlists_followed,liked_songs_count,albums_saved,artists_followed,searches_per_month,artists_viewed,albums_viewed,playlist_views,recommendation_clicks,discovery_sessions,songs_added_to_playlists,collaborative_playlists,public_playlists,playlist_shares,users_followed,followers_count,songs_shared,playlists_shared,social_interactions,podcast_episodes_played,podcast_listening_hours,podcasts_followed,audiobooks_started,audiobook_listening_hours,engagement_score,satisfaction_score,activity_score,loyalty_score,usage_change_pct,listening_change_pct,login_change_pct,complaint_count,open_complaints,avg_resolution_days,last_complaint_days_ago,support_tickets,payment_delay_days,payment_failures,late_payments,refund_requests,payment_issue_count,plan_changes,upgrades,downgrades,last_plan_change_days_ago,app_rating,favorite_feature,most_used_device,primary_device,device_count,mobile_usage_pct,desktop_usage_pct,tablet_usage_pct,last_login_days_ago,login_failures,account_warnings,user_segment,churn_risk,churn
C1011,Karthik Chopra,41,Male,Kochi,India,2025-03-01,19,Premium,Active,2026-02-19,2026-03-21,119,Debit Card,Yes,27,25,60,48,48,684,855,815,40,Deep House,Kavita Sundaram,10,12,187,15,36,102,34,37,54,55,21,100,2,7,5,21,37,11,5,37,0,0,0,0,0,90,4.5,93,75,8,7,8,1,0,1.4,64,2,0,0,0,0,0,1,1,0,165,5,Search,Web,Web,1,40,50,10,2,0,0,Power User,Low,0
C1012,Taylor Patel,18,Non-Binary,Chennai,India,2026-01-25,8,Premium,Active,2026-04-21,2026-05-21,119,Net Banking,Yes,30,24,88,68,99.7,598.2,514,465,49,Pop Melodic,CyberPulse,4,5,270,22,27,62,19,22,82,47,31,72,1,2,2,24,33,9,2,35,0,0,0,0,0,99,5,92,65,28,29,29,0,0,0,0,0,0,0,0,0,0,2,2,0,103,5,Podcasts,Desktop,Desktop,4,25,65,10,1,1,0,Power User,Low,0
C1013,Vikram Bhatia,23,Male,Bengaluru,India,2024-12-01,22,Premium,Active,2026-05-07,2026-06-06,119,Debit Card,Yes,25,25,56,63,58.8,970.2,578,537,41,Cyberpunk Bass,Prism Horizon,14,11,379,30,45,70,37,29,49,51,20,308,3,9,7,58,40,10,7,75,0,0,0,0,0,94,4.9,91,80,20,20,16,0,0,0,0,0,0,0,0,0,0,2,1,0,32,5,Recommendations,Web,Web,1,40,50,10,0,0,0,Power User,Low,0
C1014,Deepika Sharma,39,Female,Kochi,India,2024-05-05,29,Premium,Active,2026-01-27,2026-02-26,119,Credit Card,Yes,29,24,87,42,60.9,1324.6,478,422,56,Indie Rock,RetroWave Orchestra,5,12,344,28,21,65,20,25,61,36,30,60,1,3,2,12,18,7,2,21,0,0,0,0,0,94,4.7,92,89,43,34,34,1,0,4.7,16,1,0,0,0,0,0,0,2,0,0,5,Search,Web,Web,1,40,50,10,2,0,0,Power User,Low,0
C1015,Aditya Venkatesh,44,Male,Chandigarh,India,2023-10-08,36,Premium,Active,2025-12-19,2026-01-18,119,Net Banking,Yes,30,30,49,60,49,1323,361,311,50,Synthwave,The Midnight Walkers,18,3,228,18,44,96,34,37,45,62,17,324,4,12,9,39,70,12,9,60,0,0,0,0,0,88,5,94,96,36,36,38,0,0,0,0,0,0,0,0,0,0,1,1,0,141,5,Search,Desktop,Desktop,2,25,65,10,2,0,0,Power User,Low,0
C1016,Anjali Kulkarni,43,Female,Lucknow,India,2024-09-02,25,Premium,Active,2025-12-03,2026-01-02,119,Credit Card,Yes,28,30,90,68,102,1912.5,894,849,45,Pop Melodic,Lunar Echoes,17,2,386,31,27,46,26,12,124,24,31,357,4,11,8,13,23,4,8,25,0,0,0,0,0,96,4.8,98,85,18,21,19,0,0,0,0,0,0,0,0,0,0,2,1,0,130,5,Music Streaming,Tablet,Tablet,4,30,10,60,1,0,0,Premium Loyal User,Low,0
C1017,Tariq Sharma,41,Male,Goa,India,2026-06-24,3,Premium,Active,2026-09-01,2026-10-01,119,Debit Card,Yes,26,29,70,59,68.8,154.8,722,673,49,Indie Rock,Lunar Echoes,14,14,375,30,40,50,30,17,39,33,25,112,3,9,7,28,53,6,7,41,0,0,0,0,0,96,4.7,98,57,29,23,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,Playlists,Desktop,Desktop,1,25,65,10,1,0,0,Premium Loyal User,Low,0
C1018,Kriti Kumar,41,Female,Chennai,India,2026-05-25,4,Premium,Active,2026-02-02,2026-03-04,119,Credit Card,Yes,29,26,57,66,62.7,188.1,863,815,48,Deep House,Kavita Sundaram,17,10,203,16,41,46,15,12,44,29,20,153,4,11,8,24,38,5,8,37,0,0,0,0,0,99,4.9,91,60,44,40,47,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,Playlists,Mobile,Mobile,2,70,20,10,2,1,0,Premium Loyal User,Low,0
C1019,Anjali Bose,49,Female,Kochi,India,2025-06-29,15,Premium,Active,2026-07-28,2026-08-27,119,Credit Card,Yes,28,25,50,53,44.2,497.3,411,388,23,Ambient Space,Solaris Project,14,2,227,18,17,75,38,35,31,48,18,252,3,9,7,8,10,9,7,24,0,0,0,0,0,82,5,88,67,39,37,41,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,Podcasts,Mobile,Mobile,1,70,20,10,0,0,0,Premium Loyal User,Low,0
C1020,Nandini Kapoor,39,Female,Lucknow,India,2026-04-25,5,Premium,Active,2026-06-15,2026-07-15,119,UPI,Yes,25,24,63,62,65.1,244.1,831,772,59,Deep House,CyberPulse,4,1,441,35,40,54,31,14,33,22,22,80,1,2,2,20,14,4,2,26,0,0,0,0,0,93,5,92,59,28,29,30,0,0,0,0,0,0,0,0,0,0,2,2,0,109,5,Podcasts,Mobile,Mobile,1,70,20,10,0,0,0,Premium Loyal User,Low,0
C1021,Rhea Chatterjee,26,Female,Chennai,India,2025-10-27,11,Family,Active,2026-04-18,2026-05-18,179,UPI,Yes,28,27,79,51,67.2,554.4,516,457,59,Cyberpunk Bass,Aetheria,17,12,452,36,37,70,25,14,78,43,28,170,4,11,8,51,71,8,8,67,0,0,0,0,0,98,4.9,96,68,18,20,16,0,0,0,0,0,0,0,0,0,0,2,1,0,168,5,Podcasts,Tablet,Tablet,3,30,10,60,0,0,0,Premium Loyal User,Low,0
C1022,Dev Singhania,29,Male,Pune,India,2023-10-08,36,Family,Active,2026-06-05,2026-07-05,179,UPI,Yes,29,29,80,64,85.3,2303.1,525,472,53,Indie Rock,Aetheria,17,13,125,10,27,91,41,25,94,63,28,340,4,11,8,35,38,12,8,55,0,0,0,0,0,99,5,98,99,42,45,32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,Podcasts,Mobile,Mobile,3,70,20,10,0,0,0,Premium Loyal User,Low,0
C1023,Ayesha Nair,27,Female,Indore,India,2025-07-29,14,Premium,Active,2025-12-10,2026-01-09,119,UPI,Yes,27,26,53,48,42.4,445.2,517,482,35,Acoustic Folk,Aetheria,9,5,134,11,38,103,56,26,54,56,19,72,2,6,4,30,39,11,4,45,0,0,0,0,0,87,4.8,91,68,38,40,33,0,0,0,0,1,0,0,0,0,0,2,2,0,101,5,Podcasts,Web,Web,2,40,50,10,1,0,0,Premium Loyal User,Low,1
C1024,Zayn Kapoor,42,Male,Jaipur,India,2026-07-24,2,Premium,Active,2026-06-18,2026-07-18,119,Credit Card,Yes,26,28,73,43,52.3,78.4,903,881,22,Electronic,RetroWave Orchestra,5,13,153,12,35,75,38,17,47,61,26,45,1,3,2,21,33,12,2,35,0,0,0,0,0,92,4.8,97,55,11,10,9,0,0,0,0,1,0,0,0,0,0,2,1,0,53,5,Playlists,Web,Web,2,40,50,10,2,0,0,Premium Loyal User,Low,0
C1025,Sam Naik,44,Non-Binary,Chennai,India,2023-12-07,34,Premium,Active,2025-12-28,2026-01-27,119,Debit Card,Yes,30,27,75,52,65,1657.5,397,367,30,Chillstep,Neon Mirage,6,1,308,25,41,74,22,35,83,47,26,84,1,4,3,49,73,9,3,61,0,0,0,0,0,96,4.9,96,96,40,48,42,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,Audiobooks,Desktop,Desktop,3,25,65,10,2,1,0,Premium Loyal User,Low,0
C1026,Sanya Bhatia,30,Female,Chennai,India,2026-08-23,1,Premium,Active,2026-06-26,2026-07-26,119,UPI,Yes,27,30,64,72,76.8,76.8,804,757,47,Ambient Space,Aetheria,17,2,463,37,26,86,38,39,49,67,22,238,4,11,8,36,43,13,8,57,0,0,0,0,0,97,4.9,98,55,18,15,17,0,0,0,0,0,0,0,0,0,0,1,2,0,68,5,Search,Web,Web,1,40,50,10,1,0,0,Premium Loyal User,Low,0
C1027,Pooja Sharma,20,Female,Kochi,India,2023-11-07,35,Family,Active,2026-05-22,2026-06-21,179,Credit Card,Yes,25,28,48,44,35.2,924,725,703,22,Cyberpunk Bass,The Midnight Walkers,4,4,177,14,43,104,51,24,51,64,17,88,1,2,2,43,81,12,2,57,0,0,0,0,0,81,4.7,90,92,30,30,31,0,0,0,0,0,0,0,0,0,0,1,1,0,112,5,Search,Web,Web,1,40,50,10,0,0,0,Premium Loyal User,Low,0
C1028,Anand Patel,50,Male,Hyderabad,India,2023-11-07,35,Premium,Active,2026-06-23,2026-07-23,119,Credit Card,Yes,27,28,76,51,64.6,1695.7,550,490,60,Pop Melodic,CyberPulse,9,11,164,13,41,101,46,46,62,56,27,72,2,6,4,49,73,11,4,64,0,0,0,0,0,97,4.5,97,98,28,24,30,1,0,2.8,40,1,0,0,0,0,0,0,1,0,0,5,Podcasts,Tablet,Tablet,2,30,10,60,2,0,0,Premium Loyal User,Low,0
C1029,Dia Naik,42,Female,Indore,India,2025-05-30,16,Premium,Active,2026-06-03,2026-07-03,119,UPI,Yes,30,29,66,45,49.5,594,449,427,22,Chillstep,Prism Horizon,5,13,198,16,16,109,58,47,48,76,23,110,1,3,2,19,15,15,2,36,0,0,0,0,0,92,5,98,72,11,10,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,Social,Tablet,Tablet,3,30,10,60,2,0,0,Premium Loyal User,Low,0
C1030,Aarav Singhania,31,Male,Ahmedabad,India,2025-06-29,15,Family,Active,2026-06-07,2026-07-07,179,Net Banking,Yes,27,29,49,55,44.9,505.1,504,454,50,Pop Melodic,Lunar Echoes,18,10,201,16,26,55,19,14,34,26,17,342,4,12,9,31,49,5,9,45,0,0,0,0,0,88,4.7,92,70,23,19,19,0,0,0,0,1,0,0,0,0,0,1,1,0,59,5,Social,Mobile,Mobile,2,70,20,10,0,2,0,Premium Loyal User,Low,0
C1031,Bhavna Patel,30,Female,Lucknow,India,2025-04-30,17,Student,Active,2026-04-18,2026-05-18,59,UPI,Yes,21,16,13,27,5.8,74,154,109,45,Chillstep,Aetheria,3,5,69,6,14,8,3,2,11,6,5,63,0,2,1,9,12,1,1,11,0,0,0,0,0,36,3.9,33,54,-8,-7,-7,1,0,1.3,59,2,0,0,0,0,0,0,0,0,0,4,Social,Tablet,Tablet,1,30,10,60,4,0,0,Regular User,Low,0
C1032,Alex Pillai,50,Non-Binary,Delhi NCR,India,2025-05-30,16,Free,Active,2026-03-14,2026-04-13,0,None,No,12,12,27,37,16.6,199.2,239,198,41,Electronic,Neon Mirage,5,4,63,5,14,23,11,8,22,15,9,55,1,3,2,5,7,3,2,10,0,0,0,0,0,36,3.9,43,38,-13,-15,-10,1,0,5,83,1,0,0,0,0,0,2,0,0,117,4,Playlists,Web,Web,3,40,50,10,5,0,0,Regular User,Low,0
C1033,Pranav Sengupta,43,Male,Delhi NCR,India,2024-02-05,32,Free,Active,2026-01-30,2026-03-01,0,None,No,12,12,27,37,16.6,398.4,216,184,32,Lo-Fi Chill,RetroWave Orchestra,4,8,77,6,7,16,8,7,33,10,9,64,1,2,2,5,4,2,2,9,0,0,0,0,0,35,4.3,40,57,14,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Music Streaming,Tablet,Tablet,3,30,10,60,7,0,0,Regular User,Low,0
C1034,Deepika Iyer,23,Female,Goa,India,2024-01-06,33,Premium,Active,2026-07-25,2026-08-24,119,Debit Card,Yes,17,17,31,26,13.4,331.7,249,225,24,Acoustic Folk,CyberPulse,3,12,78,6,8,29,10,11,27,18,11,24,0,2,1,10,15,3,1,14,0,0,0,0,0,42,4,55,76,-4,-4,-4,1,0,2.3,35,1,0,0,0,0,0,2,0,0,99,4,Podcasts,Desktop,Desktop,1,25,65,10,8,1,0,Regular User,Low,0
C1035,Aarav Mehta,50,Male,Chandigarh,India,2025-11-26,10,Student,Active,2026-01-02,2026-02-01,59,UPI,Yes,13,13,15,38,9.5,71.3,88,46,42,Ambient Space,RetroWave Orchestra,1,6,63,5,17,9,5,2,16,7,5,9,0,0,0,13,9,1,0,14,0,0,0,0,0,29,4.2,31,43,20,23,20,1,0,1.8,81,1,0,0,0,0,0,1,0,0,78,4,Podcasts,Tablet,Tablet,3,30,10,60,5,2,0,Regular User,Low,0
C1036,Pooja Rao,40,Female,Chandigarh,India,2024-03-06,31,Premium,Active,2026-07-08,2026-08-07,119,UPI,Yes,16,16,30,34,17,395.3,100,74,26,Indie Rock,Solaris Project,3,12,99,8,11,11,7,3,23,9,11,33,0,2,1,7,7,1,1,9,0,0,0,0,0,34,4.2,44,71,-14,-14,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Search,Desktop,Desktop,3,25,65,10,6,0,0,Regular User,Low,0
C1037,Zara Iyer,25,Female,Hyderabad,India,2026-06-24,3,Student,Active,2026-08-25,2026-09-24,59,UPI,Yes,22,15,16,36,9.6,21.6,116,92,24,Indie Rock,Lunar Echoes,1,9,43,3,18,18,6,4,19,15,6,16,0,0,0,21,16,3,0,24,0,0,0,0,0,44,4.4,38,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,76,4,Music Streaming,Mobile,Mobile,4,70,20,10,0,0,0,Regular User,Low,0
C1038,Yash Verma,20,Male,Delhi NCR,India,2023-10-08,36,Premium,Active,2026-02-16,2026-03-18,119,Debit Card,Yes,22,20,24,25,10,270,129,95,34,Cyberpunk Bass,Lunar Echoes,1,1,91,7,6,29,10,7,19,12,8,16,0,0,0,6,10,2,0,8,0,0,0,0,0,37,4.2,55,78,7,8,8,0,0,0,0,0,0,0,0,0,0,1,0,0,18,4,Search,Desktop,Desktop,1,25,65,10,2,0,0,Regular User,Low,0
C1039,Sneha Patel,31,Female,Kolkata,India,2024-12-01,22,Student,Active,2026-02-14,2026-03-16,59,UPI,Yes,14,14,34,22,12.5,206.3,197,171,26,Ambient Space,Aetheria,5,12,37,3,10,15,5,6,34,7,12,90,1,3,2,13,16,1,2,16,0,0,0,0,0,37,4.2,46,60,10,8,7,0,0,0,0,0,0,0,0,0,0,1,0,0,58,4,Playlists,Web,Web,2,40,50,10,4,0,0,Regular User,Low,0
C1040,Dev Menon,24,Male,Kochi,India,2025-07-29,14,Premium,Active,2026-02-16,2026-03-18,119,Credit Card,Yes,14,14,14,28,6.5,68.3,252,231,21,Deep House,CyberPulse,2,13,105,8,14,17,7,5,13,9,5,16,0,1,1,12,15,1,1,14,0,0,0,0,0,35,4,35,50,23,26,22,1,0,2.1,50,1,0,0,0,0,0,1,0,0,108,4,Audiobooks,Mobile,Mobile,3,70,20,10,3,0,0,Regular User,Low,0
C1041,Zayn Bose,21,Male,Pune,India,2024-04-05,30,Student,Active,2026-03-17,2026-04-16,59,UPI,Yes,15,15,33,31,17.1,384.8,97,75,22,Pop Melodic,Kavita Sundaram,2,6,71,6,13,21,13,5,38,12,12,24,0,1,1,6,11,2,1,9,0,0,0,0,0,33,4.4,50,69,-6,-7,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Search,Mobile,Mobile,3,70,20,10,0,2,0,Regular User,Low,0
C1042,Arun Chatterjee,21,Male,Bengaluru,India,2025-08-28,13,Free,Active,2026-07-24,2026-08-23,0,None,No,14,8,16,38,10.1,98.5,200,171,29,Cyberpunk Bass,Lunar Echoes,2,6,66,5,7,35,20,11,21,15,6,34,0,1,1,8,7,3,1,12,0,0,0,0,0,34,4.3,38,33,6,7,5,0,0,0,0,1,0,0,0,0,0,2,0,0,111,4,Music Streaming,Web,Web,2,40,50,10,0,0,0,Regular User,Low,0
C1043,Karthik Deshmukh,25,Male,Pune,India,2026-06-24,3,Student,Active,2026-08-15,2026-09-14,59,UPI,Yes,18,18,13,44,9.5,21.4,169,132,37,Electronic,The Midnight Walkers,5,2,36,3,10,29,12,7,15,14,5,45,1,3,2,13,26,2,2,17,0,0,0,0,0,39,4.6,46,37,9,10,9,0,0,0,0,0,0,0,0,0,0,1,0,0,149,5,Recommendations,Desktop,Desktop,2,25,65,10,2,0,0,Regular User,Low,0
C1044,Bhavna Sengupta,31,Female,Indore,India,2025-05-30,16,Premium,Active,2026-08-16,2026-09-15,119,UPI,Yes,13,12,35,37,21.6,259.2,229,201,28,Electronic,CyberPulse,4,12,74,6,13,19,10,7,32,10,12,76,1,2,2,9,15,2,2,13,0,0,0,0,0,41,4.5,46,54,9,11,9,0,0,0,0,0,0,0,0,0,0,1,0,0,68,5,Music Streaming,Desktop,Desktop,2,25,65,10,1,1,0,Regular User,Low,0
C1045,Sneha Verma,48,Female,Chandigarh,India,2026-07-24,2,Premium,Active,2026-04-04,2026-05-04,119,Credit Card,Yes,18,14,21,26,9.1,13.6,167,148,19,Electronic,Neon Mirage,3,2,39,3,9,13,8,5,23,10,7,30,0,2,1,11,18,2,1,14,0,0,0,0,0,37,4.6,37,35,10,11,10,0,0,0,0,0,0,0,0,0,0,1,0,0,35,5,Social,Mobile,Mobile,2,70,20,10,7,0,0,Regular User,Low,0
C1046,Kabir Naik,28,Male,Jaipur,India,2024-11-01,23,Free,Active,2025-12-18,2026-01-17,0,None,No,14,14,17,32,9.1,157,205,186,19,Pop Melodic,Prism Horizon,3,6,88,7,6,31,14,14,20,14,6,60,0,2,1,3,3,2,1,6,0,0,0,0,0,31,4.2,44,45,-15,-17,-15,0,0,0,0,0,0,0,0,0,0,2,0,0,112,4,Playlists,Mobile,Mobile,2,70,20,10,1,0,0,Regular User,Low,0
C1047,Harish Deshmukh,36,Male,Hyderabad,India,2024-07-04,27,Premium,Active,2026-02-17,2026-03-19,119,Credit Card,Yes,17,15,19,23,7.3,147.8,194,154,40,Synthwave,Neon Mirage,4,8,35,3,12,13,6,5,14,8,7,64,1,2,2,8,13,1,2,11,0,0,0,0,0,35,4.2,38,66,14,15,10,1,0,5.3,73,2,0,0,0,0,0,2,0,0,147,4,Search,Web,Web,3,40,50,10,2,0,0,Regular User,Low,0
C1048,Vikram Iyer,49,Male,Pune,India,2025-09-27,12,Premium,Active,2026-06-21,2026-07-21,119,Debit Card,Yes,22,12,16,34,9.1,81.9,249,229,20,Lo-Fi Chill,Aetheria,2,7,81,6,12,14,8,5,20,10,6,34,0,1,1,16,17,2,1,19,0,0,0,0,0,47,4.3,32,51,22,18,18,0,0,0,0,1,0,0,0,0,0,2,0,0,130,4,Podcasts,Desktop,Desktop,1,25,65,10,9,2,0,Regular User,Low,0
C1049,Dev Joshi,32,Male,Bengaluru,India,2024-06-04,28,Free,Active,2026-09-11,2026-10-11,0,None,No,22,20,14,34,7.9,165.9,127,110,17,Cyberpunk Bass,RetroWave Orchestra,2,7,52,4,11,25,10,10,15,14,5,30,0,1,1,13,18,2,1,16,0,0,0,0,0,40,4.3,47,54,8,7,7,0,0,0,0,0,0,0,0,0,0,2,0,0,134,4,Audiobooks,Web,Web,4,40,50,10,5,0,0,Free User,Low,0
C1050,Arun Kapoor,23,Male,Chandigarh,India,2025-06-29,15,Free,Active,2026-08-13,2026-09-12,0,None,No,14,12,19,26,8.2,92.2,220,183,37,Chillstep,CyberPulse,2,11,92,7,5,29,11,10,26,23,7,30,0,1,1,3,3,4,1,8,0,0,0,0,0,32,4.4,42,35,17,18,17,0,0,0,0,0,0,0,0,0,0,2,0,0,86,4,Social,Web,Web,4,40,50,10,6,0,0,Free User,Low,0
C1051,Sneha Chopra,25,Female,Lucknow,India,2025-11-26,10,Free,Active,2026-01-03,2026-02-02,0,None,No,20,17,18,24,7.2,54,188,170,18,Cyberpunk Bass,Prism Horizon,3,2,89,7,16,25,10,12,11,13,6,48,0,2,1,16,19,2,1,19,0,0,0,0,0,41,4.5,46,32,-15,-14,-10,0,0,0,0,0,0,0,0,0,0,2,0,0,79,5,Podcasts,Tablet,Tablet,2,30,10,60,4,1,0,Free User,Low,0
C1052,Zayn Sengupta,44,Male,Jaipur,India,2025-09-27,12,Free,Active,2026-01-16,2026-02-15,0,None,No,21,7,21,21,7.3,65.7,199,166,33,Electronic,Lunar Echoes,4,7,40,3,8,10,5,3,14,5,7,56,1,2,2,3,5,1,2,6,0,0,0,0,0,36,4.2,27,33,9,8,10,1,0,2,39,1,0,0,0,0,0,1,0,0,172,4,Recommendations,Mobile,Mobile,1,70,20,10,3,0,0,Free User,Low,0
C1053,Pranav Malhotra,34,Male,Kolkata,India,2024-07-04,27,Free,Active,2026-02-21,2026-03-23,0,None,No,16,13,22,29,10.6,214.7,114,89,25,Acoustic Folk,The Midnight Walkers,2,1,39,3,17,17,8,4,11,10,8,34,0,1,1,20,18,2,1,23,0,0,0,0,0,38,4.6,39,52,-11,-11,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Music Streaming,Desktop,Desktop,1,25,65,10,3,0,0,Free User,Low,0
